id,niche,serp_weakness,kd,volume,aio_resistance,ad_value,content_leverage,personal_edge,longevity,total,dq,top_ranking_domains,notes
B1,"3D-printer cost calculators (filament, electricity, per-part, resin vs FDM)",3,3,4,3,4,4,2,4,27,none,3dwithus.com; omnicalculator.com; printpal.io; spoolmath.com; sanix3d.com; calculop.com; 3dsourced.com; sovol3d.com; qidi3d.com; flashforge.com; snapmaker.com; resincalc.com; 3dprintbounty.com,"SERP weakness 3: mostly small/new tool sites (spoolmath, sanix3d, calculop, resincalc, 3dprintbounty) plus omnicalculator at #4 - beatable but tool already exists 10x over. KD 3: manufacturer blogs (Qidi/Flashforge/Snapmaker/Sovol) own the informational 'cost per hour' queries. Volume 4: cost calculator + electricity + filament per gram + resin cluster easily 2-10k/mo. AIO 3: calculator queries survive; 'cost to run per hour' is fully answered by a one-liner ($0.01-0.15/hr). Ad value 4: filament/printer affiliate + tech CPC >$1. Leverage 4: per-printer-model electricity pages (pea3d already does Elegoo) are programmatic. Edge 2: software only. Longevity 4."
B8,"Ham radio antenna & electronics calculators (dipole length, coil inductance, SWR, coax loss)",4,3,4,4,3,4,2,3,27,none,omnicalculator.com (dipole #1); 66pacific.com (x3 - 2000s-era site); everythingrf.com; westmountainradio.com; electronics-notes.com; 73qrz.com (new 'modern ham dashboard'); rftools.io; tools.soundbase.app; kv5r.com; qsl.net/co8tw (ancient); thedxshop.com; rokland.com; hamradio247.com; coaxrf.com; csgnetwork.com (ancient); m0ukd.com (blog); 0x9900.com (blog); walcottradio.com; allaboutcircuits.com; electronics-tutorials.ws; rimstar.org; teslascientific.com,"SERP weakness 4: 66pacific (2000s design) ranks #1-2 on three queries; qsl.net and csgnetwork pages are 15-20 yrs old; personal blogs (m0ukd, 0x9900, kv5r, rimstar) in top 5. Weak, but note 73qrz.com and rftools.io are brand-new sites already executing the exact 'modern ham calculator hub' play. KD 3: omnicalculator #1 for dipole, allaboutcircuits/electronics-tutorials/everythingRF are mid-authority. Volume 4: coil inductance + dipole + coax loss + SWR + quarter-wave cluster ~5-10k. AIO 4: 468/f is a one-liner, but coax loss by cable type/length/frequency and inductance from geometry need tools. Ad value 3: radios/antennas/test gear affiliate, CPC ~$0.8-1.5. Leverage 4: per-band x antenna-type pages (dipole for 20m, 40m, 2m...) + per-coax-type loss tables are programmatic. Edge 2: engineering/software literacy, no RF background. Longevity 3: ham demographic is aging; electronics calcs evergreen."
D5,"Music production calculators (BPM->ms, string tension, note frequency, transpose, delay)",4,3,4,3,2,5,1,5,27,none,"muted.io; sengpielaudio.com; polarity.me; rebelsproductions.com; tuneform.com; guitartrainingstudio.com; stringjoy.com; daddario.com; ghsstrings.com; kaliummusic.com; mixbutton.com; liutaiomottola.com; anotherproducer.com; nickfever.com; music-theory-practice.com; PDFs (pianochops, linehilton); weebly PDF; gumroad; github.io","SERP weakness 4: PDFs, weebly uploads, 1990s-style pages (sengpielaudio, liutaiomottola), github.io and Gumroad rank for transpose/frequency/tension. String tension is the exception: string manufacturers (Stringjoy, D'Addario, GHS, Kalium) own it. KD 3. Volume 4. AIO 3: 60000/BPM is answerable but producers want the full note-value/dotted/triplet table. Ad 2: music gear affiliate, low CPC. Leverage 5: one page per BPM (60-200) + per-note tables. Edge 1. Longevity 5."
D6,"Drone/RC calculators (flight time, C-rating, KV, prop thrust, LiPo)",4,4,3,3,4,4,1,4,27,none,flyingtech.co.uk; github (sidharthmohannair); omnicalculator.com; design215.com; flitetest.com; everydrone.io; grepow.com; batteriesinaflash.com; mrd-rc.com; translatorscafe.com; toolcroze.com; radiocontrolinfo.com; kwcalc.com; calculatorshub.net; everycalculators.com; calculator.academy; gobrushless.com; tytorobotics.com; ufinebattery.com; tembrica.com,"SERP weakness 4: GitHub READMEs, personal blogs (cetinich.net, lerryws.xyz), old gobrushless.com, and off-topic Wikipedia ('bolt thrust') all rank; battery-manufacturer blogs (Grepow, Ufine, Large) pad results. Calculator farms present (calculatorshub, everycalculators, toolcroze, calculator.academy) but not dominant; Omni only #3 on flight time. KD 4. Volume 3: hobbyist-sized cluster. AIO 3: formulas are simple but multi-input. Ad 4: drone/RC gear is expensive, CPC good. Leverage 4. Edge 1. Longevity 4."
A1,Pine Script v6 function-by-function examples & gotchas,3,3,3,2,3,3,5,4,26,none (educational; keep trading-advice language out),tradingview.com/pine-script-docs; tradingcode.net; pineify.app; quantnomad.com; pinewizards.com; traderspost.io; supa.is; weinvesting.live (blogspot),"SERP is mid-size niche blogs + official docs, no big media. tradingcode.net and pineify.app are entrenched on almost every function query. Weak signals: blogspot page and 2026 AI-content sites (supa.is) ranking; quantnomad v4-era posts still rank. AI Overview answers most 'how do I use X' with a snippet, so only gotcha/edge-case pages survive. v6-specific migration gotchas is the gap."
C2,"Strength-training calculators (1RM, plate loading, RPE, volume landmarks, Wilks)",2,2,4,3,2,4,5,4,26,"borderline: keep to math/tools, no programming or health advice",strengthlevel.com; barbellmedicine.com; nasm.org; calculator.net; omnicalculator.com; builtwithscience.com; exrx.net; rpstrength.com; fitnessvolt.com; app stores,"Head terms (1rm, wilks, plate) owned by strengthlevel/omni/calculator.net/NASM + app-store listings. Only the volume-landmark cluster shows weak SERPs (8 tiny tool sites). rpe chart SERP is polluted by retinal-pigment-epithelium results. Strong personal edge but crowded head."
C5,"Bike & car fitment calculators (gear ratio, tire size, gear inches, chain length, tire pressure)",3,3,4,4,3,4,1,4,26,none,sheldonbrown.com; rivbike.com; bikecalc.com; gear-calculator.com; bikeschool.com; bikegearratio.com; roadmancycling.com; tacomaworld.com; tiresize.com; 1010tires.com; calculator.net; omnicalculator.com; parktool.com; bikeforums.net; silca.cc; vittoria.com; enve.com,"Bike gear SERPs are old (Sheldon Brown, machinehead 2000s-era JS, cycle-club pages) and a brand-new bikegearratio.com already ranks - proof small sites get in. Car tire size is owned by forums/retailers/calculator.net. Tire pressure owned by component brands (SILCA, Vittoria, ENVE). Gear-inches/development/cadence-speed tables are a good programmatic target."
C7,"Garden calculators & lookups (frost dates by ZIP, soil volume, spacing, seed dates, mulch)",3,3,5,3,3,5,0,4,26,none,almanac.com; davesgarden.com; garden.org; morningchores.com; ourgardenworks.com; plantingzonesbyzipcode.com; frostdatesbyzipcode.com; gardeners.com; vegogarden.com; eartheasy.com; soilcalculator.com; johnnyseeds.com; groworganic.com; sowrightseeds.com; calculator.net; calculatorsoup.com; local garden centers,"Almanac owns frost-date head term but three tiny exact-match programmatic sites (ourgardenworks, plantingzonesbyzipcode, frostdatesbyzipcode.com) rank page 1 - strongest programmatic-entry signal in the set. Mulch/soil are calculator-farm plus local garden centers. NOAA normals are free data. Seasonal spikes."
C9,"Photography calculators (DoF, hyperfocal, EV, print size, ND filter)",3,3,4,4,3,4,2,3,26,none,photopills.com; dofmaster.com; cambridgeincolour.com; scantips.com; omnicalculator.com; commonlands.com; nikonians.org; bhphotovideo.com; diyphotography.net; petapixel.com; canonrumors.com; miniwebtool.com; toolstud.io; calculator.academy; camerasettings.com; dailyphototips.com; app stores,"Many top results are 10-20 year old pages (dofmaster, scantips, machinehead-style JS) or off-niche junk (ultimatefinancecalculator ranking for print size). omni present on every query but not dominant; PhotoPills is the real incumbent. Interactive DoF visualizer/sensor x lens tables are AI-proof. Photography search interest is flat-to-declining."
D9,"Voxel/procedural-generation tutorials (greedy meshing, marching cubes, noise)",5,3,2,3,3,1,5,4,26,none,"github (AThilenius, vercidium, cgerikj binary-greedy-meshing); devforum.roblox.com; arxiv.org PDFs (off-topic); boristhebrave.com; redblobgames.com; sites.google.com 'Let's Make a Voxel Engine' (2012); medium.com; wikipedia; huggingface.co; cs.carleton.edu; users.polytech.unice.fr; bit-101.com; leatherbee.org; clojurefun.wordpress.com (2012)","SERP weakness 5: 'greedy meshing' top 10 = GitHub READMEs, Roblox forum, arXiv papers and a USPTO patent PDF (Google has nothing good); 'voxel engine tutorial' = 2012 Google Sites page, GitHub, Medium; 'simplex vs perlin' = 2012 Wordpress and bit-101. Only Red Blob Games / BorisTheBrave / Wikipedia are strong. KD 3. Volume 2: small enthusiast cluster (<2k/mo total). AIO 3: interactive demos (live meshing viz, noise sliders) beat a text answer. Ad 3: gamedev tools/Unity/asset CPC moderate. Leverage 1: each tutorial is bespoke with demos. Edge 5: owner has shipped a voxel engine (Blockcraft). Longevity 4."
A6,Raspberry Pi problem-specific fixes (one page per error/how-to),4,3,4,2,3,4,2,3,25,none,"forums.raspberrypi.com (5 of 7 on 'no hdmi', all of top 7 on 'wifi after reboot', most on 'boot loop'); pimylifeup.com; peppe8o.com; support.thepihut.com; zbotic.in; facebook.com groups; element14 community; gist.github.com; dietpi forum; scribd","Highest raw SERP weakness: official forum threads (many from 2013-2019), Facebook group posts, Scribd, element14 fill top 10. pimylifeup is the only strong dedicated publisher and it does not cover every error. Big cluster volume. Owner edge is only 'general Linux/software' (2). Pi 5/Bookworm changed networking (NetworkManager, /boot/firmware), so older threads are stale — a real content gap for 'Bookworm-era' fix pages. Longevity 3: Pi interest plateaued."
B2,"Aquarium dosing & water-chemistry calculators (fertilizer, ammonia, salt, water change)",4,3,3,3,2,5,1,4,25,none,apifishcare.com; seachem.com; bulkreefsupply.com; aquariummath.com; dosemytank.com; fishtankmath.com; fishtankcalc.com; aquajocund.com; spec-tanks.com; fishlore.com (forum); reef2reef.com (forum); hamzasreef.com; barrreport.com; rotalabutterfly.com; scapecrunch.com (forum),"SERP weakness 4: fishlore/reef2reef forum threads in top 5 for ammonia + water-change queries; hamzasreef/rotalabutterfly are old hobbyist pages; a wave of brand-new AI-built tool sites (aquariummath, fishtankmath, fishtankcalc, aquajocund) already ranking = low bar but also proof others spotted it first. KD 3: brand sites (API, Seachem, BRS) hold #1-3 on generic 'dosing calculator'. Volume 3: ~1-3k cluster. AIO 3: per-product ml dose needs a table/tool; generic 'how much salt per gallon' is AI-answerable. Ad value 2: pet-supply CPC ~$0.4-0.9. Leverage 5: product x tank-size dosing pages (Seachem Prime for 20 gal etc.) are fully programmatic. Edge 1. Longevity 4."
C6,"Knitting/crochet/sewing calculators (yardage, gauge, blanket, fabric, increases)",4,4,3,4,2,4,0,4,25,none,theloopylamb.com; joyofmotioncrochet.com; bhookedcrochet.com; craftyintentions.com; darngoodyarn.com; crochify-patterns.com; easycrochet.com; jimmybeanswool.com; gaugeguru.app; yarnsub.com; garnstudio.com; omnicalculator.com; sailrite.com; etsy.com; walmart.com; ebay.de,"Lowest-authority SERPs of the set: craft blogs and one-person tools; Etsy/Walmart/eBay listings rank for 'knitting gauge calculator' (mis-intent = gap). Only omni touches it (fabric). Downside: modest volume, low CPC, zero personal edge, and dozens of existing calculators already satisfy users."
C8,"DIY material calculators (tile, drywall, concrete, paint, deck)",1,1,5,4,5,4,0,5,25,none,calculator.net; omnicalculator.com; quikrete.com; sakrete.com; cemex; sherwin-williams.com; benjaminmoore.com; behr.com; lowes.com; acehardware.com; usg.com; nationalgypsum.com; certainteed.com; buildgp.com; houzz.com; trex.com; timbertech.com; decks.com,"Best CPC and volume of the set but SERPs are owned by manufacturers (Quikrete, Sherwin, USG, Trex), big-box (Lowe's, Ace), Houzz and calculator.net/omni. Zero weak signals on paint/concrete/drywall. A generic site has no route in; only ultra-long-tail (e.g. 'herringbone tile waste') is open."
D2,Emulation & retro-gaming error/how-to lookup,5,5,4,2,2,3,1,3,25,none (but AdSense policy risk: BIOS/ROM-download sites rank; piracy-adjacent),forums.libretro.com; forums.launchbox-app.com; steamcommunity.com; github issues; facebook groups; ubuntuforums; ngemu.com; biosps.com/ps2bios-download.com (BIOS spam); emudeck.github.io; retroarch.com FAQ,"SERP weakness 5: nearly every query is forum threads, GitHub issues, Facebook groups, mystrikingly spam or BIOS-download spam. KD 5. Volume 4: big but 'yuzu' is dead (shut down 2024) and results polluted by the fruit. AIO 2: step-list fixes are summarizable. Ad 2: tech but ad networks dislike emulation/BIOS adjacency. Leverage 3: one template per problem but each needs real research. Edge 1. Longevity 3: emulator churn, Steam Deck/EmuDeck rising."
A2,TradingView strategy tester metrics explained + Sharpe/drawdown/expectancy calculators,2,2,3,2,3,3,5,4,24,"borderline: trading-performance content brushes personal-finance YMYL; calculators are fine, avoid 'what is a good Sharpe to trade' advice",tradingview.com/support (owns metric definitions); omnicalculator.com; wallstreetprep.com; myfxbook.com; loris.tools; journalplus.co; lunetrading.com; quantnomad.com; backtestbase.com; chromewebstore,"TradingView's own support/solutions pages own every 'explained' query; omnicalculator + wallstreetprep + myfxbook own 'max drawdown calculator'. Deep-backtesting/export queries have mid-tier guides (tradingheroes, lunefi, backtestbase) plus Chrome-extension listings. Calculator angle already saturated. Only gap: TV-specific quirks (how TV computes Sharpe monthly, why it differs from Python) — thin cluster."
A8,Prediction-market mechanics explainers + fee calculators,1,1,4,3,4,3,5,3,24,HIGH RISK: gambling-adjacent. Even 'educational' fee/settlement content sits next to sports-betting affiliates; AdSense gambling policy + YMYL make monetization unreliable. Treat as DQ unless framed strictly as market-microstructure education.,"oddsassist.com; marketmath.io; pm.wiki; predictionhunt.com; botforkalshi.com; deadspin.com; kalshi.com (fee PDF, help center); docs.polymarket.com; help.polymarket.com; startpolymarket.com (fee calculator); kucoin.com; oddsshopper.com; covers.com; si.com; rotogrinders.com; sportsbookreview.com; metamask.io; defirate.com; thelines.com","Crowded by 2026 affiliate money: sportsbook-review sites (covers, SI, rotogrinders, sportsbookreview) plus a wave of dedicated prediction-market sites, several of which already ship fee calculators (oddsassist, predictionhunt, startpolymarket, pm.wiki sliders). Official docs strong. Zero weak signals. Owner has deep first-hand edge (maker/taker mechanics, 844k-market validation) but SERP is the hardest in the set and the ad category is the riskiest."
A5,ESP32 error-code / troubleshooting decoder (one page per error),3,2,4,2,3,4,1,4,23,none,"randomnerdtutorials.com (owns 'failed to connect', 'brownout'); lastminuteengineers.com; docs.espressif.com (esptool troubleshooting, fatal-errors guide); forum.arduino.cc; community.platformio.org; esp32.com forum; github.com issues; rntlab.com; wikipedia (Guru Meditation)","Forums + GitHub issues in top 5 on every query (weak), but Random Nerd Tutorials + LastMinuteEngineers are dedicated niche authorities with [SOLVED]-titled pages that already do exactly this niche, and Espressif's own troubleshooting docs are good. Large volume (maker crowd), decent hardware CPC. Owner has no first-hand ESP32 depth (1). Gap: Guru Meditation sub-codes (LoadProhibited, StoreProhibited, IllegalInstruction) as separate decoder pages — Espressif's page is one long doc."
A7,Obsidian plugin & dataview how-to snippets,4,3,3,2,2,3,2,4,23,none,"forum.obsidian.md (5 of top 6 on templater query, top on dataview-by-tag); medium.com; obsidian.rocks; github.com (dataview repo + snippet repos); blacksmithgu.github.io (dataview docs); silentvoid13.github.io (templater docs); dataviewquerybuilder.com; cassidoo.co; xda-developers; prakashjoshipax.com; patreon/gumroad","Forum + GitHub + personal blogs everywhere = weak SERP, no big publisher except xda on CSS snippets. But dataviewquerybuilder.com already does the programmatic 'query examples/builder' play, and plugin author docs are canonical. Ad value is weak (productivity/note-taking CPC low, audience is ad-blocker heavy). AI Overview writes a dataview query straight off. Gap: copy-paste snippet library with live preview, templater date-format cheatsheet (moment.js tokens) — but CPC makes the $1.25 target slower than it looks."
B3,"Reloading/ammunition calculators (cost per round, powder charge conversions, ballistics)",4,3,4,3,2,4,0,3,23,soft: firearms ad-network restrictions (AdSense limits ammo/reloading ads); powder-charge guidance is safety-critical,dillonprecision.com; ultimatereloader.com; actiongunner.com; x-reload.com; losttarget.com (old); shootersreference.com; enoughgun.com (forum); accurateshooter.com (forum); thefiringline.com (forum); kwk.us/powley (old); diablorodandgun.com (PDF); shooterscalculator.com; hornady.com; federalpremium.com; berger; convertunits/metric-conversions (grains->grams),"SERP weakness 4: forums (accurateshooter, thefiringline, enoughgun), a PDF, and 15+yr-old pages (losttarget.com/costcal.htm, kwk.us/powley.html) in top results for cost + powder-charge queries. KD 3 blended: cost-per-round is small sites/retailers (beatable), but 'bullet drop' is Hornady/Federal/Berger/apps and 'grains to grams' is owned by unit-converter giants (unbeatable, skip both). Volume 4. AIO 3: cost/ballistics need inputs; conversions are one-liners. Ad value 2: firearms vertical is restricted on AdSense and most display networks - the ~$1.25/mo target is at risk purely on monetization policy. Leverage 4: per-caliber cost pages + loads-per-pound tables programmatic. Edge 0. Longevity 3 (component prices volatile; hobby stable). Not a rubric YMYL DQ but powder-charge content carries real safety liability - stick to cost math only."
B6,"Sourdough & baking calculators (hydration, baker's percentage, levain, scaling)",3,3,5,3,2,3,0,4,23,none,sourdough.co.uk; theperfectloaf.com; thefreshloaf.com (forum); omnicalculator.com (bakers %); wikipedia; cravethegood.com; thatsourdoughgal.com; sourdoughcalculator.info; bakerspercentagecalc.com; brdclc.com; thedoughformula.com; foodgeek.io; calcipedia.org; thebakingcalculator.com; handychefdom.com; joteo.net; asuratoom.com; missvickie.com; greatlakessourdough.com; sacramento-sourdough.com; cal2.calculator.city,"SERP weakness 3: Fresh Loaf forum threads rank for 'levain calculator'; scaling query is a wall of thin AI-generated calculator farms (calcipedia, joteo, asuratoom, handychefdom, calculator.city) - proves low bar but also that the farm wave already hit. KD 3: omnicalculator #1 and Wikipedia #3 on baker's percentage; theperfectloaf (strong brand) owns levain. Volume 5: sourdough is one of the largest hobby clusters (hydration calc alone multi-k). AIO 3: hydration % is a one-line formula (AI answers), levain/scaling need multi-input tools. Ad value 2: food CPC ~$0.3-0.6, affiliate = dutch ovens/scales. Leverage 3: ~6-8 calculators, plus per-recipe scaling pages possible. Edge 0. Longevity 4: post-2020 spike has plateaued but remains high. Verdict: volume is there, but calculator farms + omni already own it and RPM is low."
C1,Ingredient-specific cooking converters (cups to grams per ingredient),3,3,5,1,1,5,1,4,23,none,inchcalculator.com; omnicalculator.com; thecalculatorsite.com; bakeprofit.com; chefsolver.com; cookconvertapp.com; cups2grams.com; gramstocup.com; coolconversion.com; howmany.wiki; traditionaloven.com,SERP is a swarm of near-identical programmatic converter sites (5-8 per query) plus calculator farms; even spam (stripe.jhu.edu) ranks. Huge volume but one-line AI answer (1 cup flour = 125 g) fully satisfies; food CPC is very low. Late entrant would be the 9th clone.
